dataset,file,timestamp,snapshot_index,elapsed_min,rul_min,bearing,rms,std,ptp,kurtosis,crest_factor,mean_abs,E_FTF,E_BPFO,E_BPFI,E_BSF,E_kin,time_norm,rul_norm,run_id,elapsed_hours
2nd_test,2004.02.12.10.32.39,2004-02-12 10:32:39,0,0.0,9830.0,1,0.0741789985651262,0.0734749310430519,0.8400000000000001,3.6287625181349537,6.120330670078885,0.058332421875,5345.307946125164,2764.9766452298045,3123.602221857007,1752.2927472004524,12986.179560412427,0.0,0.9999999999999998,ds2_b1,0.0
2nd_test,2004.02.12.10.42.39,2004-02-12 10:42:39,1,10.0,9820.0,1,0.0753824568113952,0.0753381212895138,0.757,3.648290968062912,5.147086157799521,0.0589966308593749,3403.6402856264685,4004.239728592626,1720.6334540697037,2454.6926250836746,11583.206093372472,0.0010172939979654,0.9989827060020344,ds2_b1,0.16666666666666666
2nd_test,2004.02.12.10.52.39,2004-02-12 10:52:39,2,20.0,9810.0,1,0.0762297744691993,0.0761892927992494,0.903,3.513475204552787,6.5984715748652585,0.06023896484375,4888.501729990001,3062.728589495377,2120.093810723013,3048.2363323009668,13119.560462509358,0.0020345879959308,0.997965412004069,ds2_b1,0.3333333333333333
2nd_test,2004.02.12.11.02.39,2004-02-12 11:02:39,3,30.0,9800.0,1,0.0787236764660297,0.0786907508998915,1.184,4.157952614565989,7.723216537716405,0.061453271484375,5809.225333715186,5531.284180162073,2615.1444131991893,3121.439268969101,17077.09319604555,0.0030518819938962,0.9969481180061036,ds2_b1,0.5
2nd_test,2004.02.12.11.12.39,2004-02-12 11:12:39,4,40.0,9790.0,1,0.0784742907367796,0.0784374641108183,0.782,3.603176833441021,4.982523528712338,0.061360986328125,6100.749155955393,4205.976378457781,1864.3908142544392,3051.6346710002617,15222.751019667874,0.0040691759918616,0.995930824008138,ds2_b1,0.6666666666666666
2nd_test,2004.02.12.11.22.39,2004-02-12 11:22:39,5,50.0,9780.0,1,0.0783146413938072,0.0782978200014478,0.8049999999999999,3.45609352950544,5.605592928490489,0.061668505859375,5888.533718564332,3067.850024611756,2281.497379602201,2666.7113813908663,13904.592504169155,0.005086469989827,0.9949135300101728,ds2_b1,0.8333333333333334
2nd_test,2004.02.12.11.32.39,2004-02-12 11:32:39,6,60.0,9770.0,1,0.0786324432585717,0.0786160318654563,0.796,3.478614884538811,5.188697986315403,0.0619439453125,10960.927616125577,5425.198324093636,2354.2708674125706,3768.678349449201,22509.075157080984,0.0061037639877924,0.9938962360122072,ds2_b1,1.0
2nd_test,2004.02.12.11.42.39,2004-02-12 11:42:39,7,70.0,9760.0,1,0.0777728802246483,0.0777464696757902,0.749,3.4719823600030795,5.336050288942996,0.06123134765625,10029.641992491182,3188.4829785609263,2738.510013543778,2725.3279798733643,18681.96296446925,0.0071210579857578,0.992878942014242,ds2_b1,1.1666666666666667
2nd_test,2004.02.12.11.52.39,2004-02-12 11:52:39,8,80.0,9750.0,1,0.0790294298426225,0.0790061954336051,0.747,3.404514233517603,4.884256418954148,0.06228134765625,3839.869851161344,2017.569673062128,2638.8274967434445,2742.5320941491573,11238.799115116071,0.0081383519837232,0.9918616480162764,ds2_b1,1.3333333333333333
2nd_test,2004.02.12.12.02.39,2004-02-12 12:02:39,9,90.0,9740.0,1,0.0757175598983031,0.0756885263166924,0.722,3.325203213727664,4.992236946128513,0.059892822265625,3578.508749457685,4488.081217996612,2422.8494373003064,2955.413633316721,13444.853038071324,0.0091556459816887,0.9908443540183112,ds2_b1,1.5
2nd_test,2004.02.12.12.12.39,2004-02-12 12:12:39,10,100.0,9730.0,1,0.0792411164801179,0.0792208680176358,0.815,3.455211844147713,5.237180120990453,0.062369384765625,6481.766355972762,2574.6969639081267,2193.698297223312,4253.623949704761,15503.78556680896,0.0101729399796541,0.9898270600203456,ds2_b1,1.6666666666666667
2nd_test,2004.02.12.12.22.39,2004-02-12 12:22:39,11,110.0,9720.0,1,0.077638908086269,0.0776233336871973,0.913,3.641514974642728,6.1051863257428405,0.060837646484375,6600.904884348654,4392.413507268786,2366.660489298919,3534.9472628913413,16894.9261438077,0.0111902339776195,0.9888097660223802,ds2_b1,1.8333333333333333
2nd_test,2004.02.12.12.32.39,2004-02-12 12:32:39,12,120.0,9710.0,1,0.077404580876231,0.0773657574015155,0.778,3.364725944295025,5.16765281158782,0.06109130859375,4070.1228397423024,3336.730462739049,2588.229624505862,3234.595301841685,13229.6782288289,0.0122075279755849,0.9877924720244148,ds2_b1,2.0
2nd_test,2004.02.12.12.42.39,2004-02-12 12:42:39,13,130.0,9700.0,1,0.0798646872010324,0.0798579935762914,0.852,3.598253066203721,5.409149088722735,0.06260361328125,10045.901599504805,5443.443381440017,3144.57291029292,3748.185547033137,22382.103438270875,0.0132248219735503,0.9867751780264494,ds2_b1,2.1666666666666665
2nd_test,2004.02.12.12.52.39,2004-02-12 12:52:39,14,140.0,9690.0,1,0.0792169800714507,0.0791814619023556,0.8049999999999999,3.5511102680033666,5.32714071672569,0.062341455078125,5318.783628000045,3052.9253390435506,3535.783438816475,3228.446742794956,15135.939148655028,0.0142421159715157,0.985757884028484,ds2_b1,2.3333333333333335
2nd_test,2004.02.12.13.02.39,2004-02-12 13:02:39,15,150.0,9680.0,1,0.0786617772193871,0.0786470709320779,0.725,3.553051568613506,4.716394837616838,0.06163056640625,7113.721006049469,4007.7543381053606,2446.82491606458,3680.7884115401534,17249.08867175956,0.0152594099694811,0.9847405900305186,ds2_b1,2.5
2nd_test,2004.02.12.13.12.39,2004-02-12 13:12:39,16,160.0,9670.0,1,0.078453383600948,0.0784274489384918,0.8200000000000001,3.4799660070915373,5.595679623295425,0.06188349609375,6006.022863144755,3710.6758800449834,2853.522249317461,3515.944055767427,16086.165048274626,0.0162767039674465,0.9837232960325532,ds2_b1,2.6666666666666665
