dataset,file,timestamp,snapshot_index,elapsed_min,rul_min,bearing,rms,std,ptp,kurtosis,crest_factor,mean_abs,E_FTF,E_BPFO,E_BPFI,E_BSF,E_kin,time_norm,rul_norm,run_id,elapsed_hours
2nd_test,2004.02.12.10.32.39,2004-02-12 10:32:39,0,0.0,70.0,1,0.07417899856512623,0.07347493104305192,0.8400000000000001,3.6287625181349537,6.120330670078885,0.058332421875000005,5345.307946125164,2764.9766452298045,3123.602221857007,1752.2927472004524,12986.179560412427,0.0,0.9999999999999858,ds2_b1,0.0
2nd_test,2004.02.12.10.42.39,2004-02-12 10:42:39,1,10.0,60.0,1,0.07538245681139528,0.07533812128951384,0.757,3.648290968062912,5.147086157799521,0.058996630859374996,3403.6402856264685,4004.239728592626,1720.6334540697035,2454.6926250836746,11583.206093372473,0.14285714285714082,0.857142857142845,ds2_b1,0.16666666666666666
2nd_test,2004.02.12.10.52.39,2004-02-12 10:52:39,2,20.0,50.0,1,0.07622977446919937,0.0761892927992494,0.903,3.513475204552787,6.5984715748652585,0.06023896484375,4888.501729990001,3062.728589495377,2120.093810723013,3048.2363323009668,13119.560462509358,0.28571428571428165,0.7142857142857041,ds2_b1,0.3333333333333333
2nd_test,2004.02.12.11.02.39,2004-02-12 11:02:39,3,30.0,40.0,1,0.07872367646602975,0.07869075089989153,1.184,4.157952614565989,7.7232165377164055,0.061453271484375,5809.225333715186,5531.284180162073,2615.1444131991893,3121.4392689691012,17077.09319604555,0.4285714285714225,0.5714285714285633,ds2_b1,0.5
2nd_test,2004.02.12.11.12.39,2004-02-12 11:12:39,4,40.0,30.0,1,0.07847429073677968,0.07843746411081838,0.782,3.603176833441021,4.982523528712338,0.061360986328125,6100.749155955393,4205.976378457781,1864.3908142544392,3051.6346710002617,15222.751019667874,0.5714285714285633,0.4285714285714225,ds2_b1,0.6666666666666666
2nd_test,2004.02.12.11.22.39,2004-02-12 11:22:39,5,50.0,20.0,1,0.07831464139380724,0.07829782000144782,0.8049999999999999,3.4560935295054396,5.605592928490489,0.061668505859375,5888.533718564332,3067.850024611756,2281.497379602201,2666.7113813908663,13904.592504169155,0.7142857142857041,0.28571428571428165,ds2_b1,0.8333333333333334
2nd_test,2004.02.12.11.32.39,2004-02-12 11:32:39,6,60.0,10.0,1,0.07863244325857172,0.07861603186545633,0.796,3.478614884538811,5.188697986315403,0.061943945312500005,10960.927616125575,5425.198324093636,2354.2708674125706,3768.678349449201,22509.075157080984,0.857142857142845,0.14285714285714082,ds2_b1,1.0
2nd_test,2004.02.12.11.42.39,2004-02-12 11:42:39,7,70.0,0.0,1,0.07777288022464836,0.07774646967579023,0.749,3.4719823600030795,5.336050288942996,0.061231347656250004,10029.641992491182,3188.4829785609263,2738.510013543778,2725.3279798733643,18681.96296446925,0.9999999999999858,0.0,ds2_b1,1.1666666666666667
1st_test,2003.10.22.12.06.24,2003-10-22 12:06:24,0,0.0,32.81666666666667,3,0.13035408567014134,0.0934732544674671,1.0475,3.5912506133857884,4.8978921754926406,0.107150048828125,7482.913203721333,2470.147513297768,2124.7457042600986,2780.7642790002483,14858.570700279448,0.0,0.9999999999999695,ds1_b3,0.0
1st_test,2003.10.22.12.09.13,2003-10-22 12:09:13,1,2.816666666666667,30.0,3,0.13080555369467495,0.09305777375078528,1.0259999999999998,3.5639971323607487,4.36528918998204,0.1075565185546875,12866.651847264926,3340.8547789076047,2040.5620295615938,3485.1280366254887,21733.196692359612,0.08583037074656924,0.9141696292534002,ds1_b3,0.04694444444444445
1st_test,2003.10.22.12.14.13,2003-10-22 12:14:13,2,7.816666666666666,25.0,3,0.13231961902379408,0.09293391590323166,0.9855,3.570066589829426,4.613549585503318,0.1093108642578125,15060.377129919256,2910.521785552193,2392.8379662433153,3465.436348149129,23829.173229863893,0.23819197562213593,0.7618080243778335,ds1_b3,0.13027777777777777
1st_test,2003.10.22.12.19.13,2003-10-22 12:19:13,3,12.816666666666666,20.0,3,0.132525948430887,0.09444512915275216,0.9550000000000001,3.4645870869518784,4.658366906583497,0.109039404296875,10985.19169568106,3420.221118786582,2433.4201334521067,3529.5195101095783,20368.352458029323,0.3905535804977026,0.6094464195022667,ds1_b3,0.2136111111111111
1st_test,2003.10.22.12.24.13,2003-10-22 12:24:13,4,17.816666666666666,15.0,3,0.13229401746691707,0.09348719572013328,1.0265,3.4007474118730086,4.343915147869087,0.10890114746093751,6813.066544741122,2732.313795518209,2339.669523312913,3228.1456897786466,15113.19555335089,0.5429151853732693,0.4570848146267001,ds1_b3,0.29694444444444446
