Experiment,Train runs,Validation run,Test run,Model,Seed repeats,MAE,MAE SD,RMSE,RMSE SD,R2,R2 SD
S01,ds1_b4 + ds3_b3,ds1_b3,ds2_b1,CNN baseline,3,0.3473174571990967,0.013376936521081958,0.3907705319246378,0.015989007808853897,-0.907492200533549,0.15526672485707096
S01,ds1_b4 + ds3_b3,ds1_b3,ds2_b1,Data-only neural baseline,3,0.3900726040204366,0.021679948758033803,0.44326285980896724,0.030091387151671475,-1.3602252801259358,0.3151838693271309
S01,ds1_b4 + ds3_b3,ds1_b3,ds2_b1,LSTM baseline,3,0.2957405348618825,0.006655109657480133,0.3388695823090678,0.004462865284532352,-0.4330129226048787,0.03782344928022661
S01,ds1_b4 + ds3_b3,ds1_b3,ds2_b1,Proposed DeepXDE Physics-Informed RUL Model,3,0.4096711575984955,0.010220185535447875,0.47237139838871617,0.015356532276194611,-1.674062728881836,0.17247759991094072
S02,ds1_b3 + ds3_b3,ds1_b4,ds2_b1,CNN baseline,3,0.34247182806332904,0.018445030069200574,0.38494409133917235,0.01844217714118614,-0.8517999251683553,0.17592150202345982
S02,ds1_b3 + ds3_b3,ds1_b4,ds2_b1,Data-only neural baseline,3,0.32686613003412884,0.051806255313021424,0.3735955524761591,0.046583090394424174,-0.6888073682785034,0.41045469120555905
S02,ds1_b3 + ds3_b3,ds1_b4,ds2_b1,LSTM baseline,3,0.2980814178784688,0.005608382674762445,0.3393893628247529,0.005584563754137852,-0.43750564257303876,0.04739980434336795
S02,ds1_b3 + ds3_b3,ds1_b4,ds2_b1,Proposed DeepXDE Physics-Informed RUL Model,3,0.3499990304311116,0.04533519679354713,0.3987133329944778,0.04742916346719989,-0.921754002571106,0.44252913164414476
S03,ds1_b3 + ds1_b4,ds3_b3,ds2_b1,CNN baseline,3,0.2993581344683965,0.05925385945082321,0.34743031446727574,0.0569699536069119,-0.533154825369517,0.47483731785569017
S03,ds1_b3 + ds1_b4,ds3_b3,ds2_b1,Data-only neural baseline,3,0.3781760533650716,0.026204032071840886,0.42494266895510996,0.0361170948557668,-1.1729297637939453,0.37203509167655163
S03,ds1_b3 + ds1_b4,ds3_b3,ds2_b1,LSTM baseline,3,0.2792101701100667,0.03165376782255526,0.31644123212033864,0.027166056519922696,-0.25559461116790766,0.21807977896423603
S03,ds1_b3 + ds1_b4,ds3_b3,ds2_b1,Proposed DeepXDE Physics-Informed RUL Model,3,0.3868295947710673,0.017056041613734807,0.4401510733415126,0.027170438924576636,-1.3259689807891846,0.2909253707777643
S04,ds1_b4 + ds3_b3,ds2_b1,ds1_b3,CNN baseline,3,0.16349644462267554,0.009434064458345832,0.1833034482678377,0.009726914906536122,0.567771315574646,0.04595018180799147
S04,ds1_b4 + ds3_b3,ds2_b1,ds1_b3,Data-only neural baseline,3,0.0187193347762028,0.0016455308724665921,0.025529393151509167,0.00251432351402168,0.9918718934059143,0.0016314887804661803
S04,ds1_b4 + ds3_b3,ds2_b1,ds1_b3,LSTM baseline,3,0.14075559377670285,0.04351292872846687,0.18393916216455322,0.03167686635039125,0.5569944580396017,0.1434006263299408
S04,ds1_b4 + ds3_b3,ds2_b1,ds1_b3,Proposed DeepXDE Physics-Informed RUL Model,3,0.019421021143595334,0.0011868745173024265,0.026329940393825097,0.002481651835260508,0.9913588364919027,0.0016214180102657944
S05,ds2_b1 + ds3_b3,ds1_b4,ds1_b3,CNN baseline,3,0.16758477191130317,0.013707397627702154,0.20402782422940602,0.011322350343150187,0.46441636482874554,0.059243545553948014
S05,ds2_b1 + ds3_b3,ds1_b4,ds1_b3,Data-only neural baseline,3,0.22104196250438682,0.033591549538648874,0.31426924904489034,0.04289310460573321,-0.23900185028711954,0.3217283348109696
S05,ds2_b1 + ds3_b3,ds1_b4,ds1_b3,LSTM baseline,3,0.22402706245581303,0.05894220120102731,0.2693602481834744,0.07431299261221992,0.021138906478881798,0.5533187088581284
S05,ds2_b1 + ds3_b3,ds1_b4,ds1_b3,Proposed DeepXDE Physics-Informed RUL Model,3,0.27259986599286395,0.018352324498618417,0.3521597824876041,0.01534441464529145,-0.5386393070220947,0.1330558238591636
S06,ds2_b1 + ds1_b4,ds3_b3,ds1_b3,CNN baseline,3,0.1410793637235959,0.03222442442349754,0.16307542064163186,0.029687043114720535,0.6509999632835388,0.11867912875526032
S06,ds2_b1 + ds1_b4,ds3_b3,ds1_b3,Data-only neural baseline,3,0.016480889171361864,0.0007128251907214528,0.024740605678094333,0.0006858501865408496,0.9924115935961405,0.00042346851910891127
S06,ds2_b1 + ds1_b4,ds3_b3,ds1_b3,LSTM baseline,3,0.12189726034800209,0.0013097319374291527,0.15113103930258062,0.0018790434204958542,0.7067014773686727,0.007307146770168751
S06,ds2_b1 + ds1_b4,ds3_b3,ds1_b3,Proposed DeepXDE Physics-Informed RUL Model,3,0.014292887101570733,0.0004171636002648432,0.022875407904377167,0.0011854532579189075,0.9935043652852377,0.0006804300952654878
S07,ds1_b3 + ds3_b3,ds2_b1,ds1_b4,CNN baseline,3,0.13149313131968174,0.00344659618502606,0.15301669843105076,0.001364867396344595,0.6993518869082133,0.005362797112197806
S07,ds1_b3 + ds3_b3,ds2_b1,ds1_b4,Data-only neural baseline,3,0.024709148332476602,0.004955371023892647,0.03524644993680877,0.005583038616018876,0.9843489527702332,0.0046602822944781476
S07,ds1_b3 + ds3_b3,ds2_b1,ds1_b4,LSTM baseline,3,0.14079766968886054,0.008831526565468302,0.2035944227233335,0.015534869311595697,0.46571624279022217,0.08052361468870023
S07,ds1_b3 + ds3_b3,ds2_b1,ds1_b4,Proposed DeepXDE Physics-Informed RUL Model,3,0.025349873428543335,0.003626197692155663,0.036317093056284395,0.00574098653285689,0.9833847880363464,0.004931239938435353
S08,ds2_b1 + ds3_b3,ds1_b3,ds1_b4,CNN baseline,3,0.1373202900091807,0.017743772437590035,0.1783217814563068,0.004689972288224886,0.5915237267812093,0.02159040538975752
S08,ds2_b1 + ds3_b3,ds1_b3,ds1_b4,Data-only neural baseline,3,0.22282667954762772,0.011984463969251248,0.33164375959211595,0.013315234921806331,-0.3643257220586141,0.11064195108259231
S08,ds2_b1 + ds3_b3,ds1_b3,ds1_b4,LSTM baseline,3,0.18962614238262168,0.016190425503896752,0.24160248642197021,0.01666526894535205,0.24814174572626743,0.10538703057745165
S08,ds2_b1 + ds3_b3,ds1_b3,ds1_b4,Proposed DeepXDE Physics-Informed RUL Model,3,0.26729922990004223,0.01653205700855249,0.35307246242931983,0.013232128774015233,-0.5461162328720093,0.11555691715000484
S09,ds2_b1 + ds1_b3,ds3_b3,ds1_b4,CNN baseline,3,0.11415635297695793,0.008331633748175126,0.13957828456258894,0.008780030164903765,0.7491941849390665,0.031470969886426524
S09,ds2_b1 + ds1_b3,ds3_b3,ds1_b4,Data-only neural baseline,3,0.049861570820212336,0.023799798570994544,0.08325281888520374,0.04334700054512941,0.8985957304636637,0.08236752253116333
S09,ds2_b1 + ds1_b3,ds3_b3,ds1_b4,LSTM baseline,3,0.16584123671054837,0.031590681917363264,0.2577788015766212,0.03832091415762061,0.13422725598017374,0.2639515038181766
S09,ds2_b1 + ds1_b3,ds3_b3,ds1_b4,Proposed DeepXDE Physics-Informed RUL Model,3,0.030501263837019565,0.006797137817090406,0.04522399586549853,0.010790687553376812,0.9736958543459574,0.012817935591020936
S10,ds1_b3 + ds1_b4,ds2_b1,ds3_b3,CNN baseline,3,0.11224829405546183,0.005423840816589287,0.13365098684698695,0.00868623403892947,0.7832366029421488,0.02804704330073103
S10,ds1_b3 + ds1_b4,ds2_b1,ds3_b3,Data-only neural baseline,3,0.12762606640656785,0.006049116099534482,0.14952555630983785,0.007021988701362067,0.730758269627889,0.02494939677627816
S10,ds1_b3 + ds1_b4,ds2_b1,ds3_b3,LSTM baseline,3,0.15397777905066803,0.06261784028167844,0.1872021814967341,0.06874100221339728,0.5378047625223795,0.34107625793580065
S10,ds1_b3 + ds1_b4,ds2_b1,ds3_b3,Proposed DeepXDE Physics-Informed RUL Model,3,0.1228517616788546,0.007748703782734414,0.14333014557365953,0.009053127103752315,0.7523136337598165,0.030930865840885502
S11,ds2_b1 + ds1_b4,ds1_b3,ds3_b3,CNN baseline,3,0.19216911991437272,0.007990192254480704,0.23693043397626004,0.00828147533962793,0.3201460043589274,0.04786264215106454
S11,ds2_b1 + ds1_b4,ds1_b3,ds3_b3,Data-only neural baseline,3,0.1096988295515378,0.0071838069165175295,0.14586308461803352,0.0035576066520243586,0.744061013062795,0.01249461710763264
S11,ds2_b1 + ds1_b4,ds1_b3,ds3_b3,LSTM baseline,3,0.13510269920031226,0.02308457798458688,0.14731089000591172,0.02642677844794825,0.7317688266436259,0.09881249474043627
S11,ds2_b1 + ds1_b4,ds1_b3,ds3_b3,Proposed DeepXDE Physics-Informed RUL Model,3,0.11412554979324337,0.00405192690020842,0.14687354401399208,0.0019965328792081074,0.7405736247698466,0.007050642915199936
S12,ds2_b1 + ds1_b3,ds1_b4,ds3_b3,CNN baseline,3,0.2838480174541473,0.0038653420873012443,0.30718470835351824,0.0034886555465595383,-0.14197576045989987,0.025978363799755117
S12,ds2_b1 + ds1_b3,ds1_b4,ds3_b3,Data-only neural baseline,3,0.12506980697313944,0.01449994887350932,0.16113426953720483,0.0075940176217279935,0.6873259345690409,0.029655465098480348
S12,ds2_b1 + ds1_b3,ds1_b4,ds3_b3,LSTM baseline,3,0.11517740041017528,0.016797250336219954,0.12826442328555418,0.016718721460437066,0.7986627022425333,0.053774577384051
S12,ds2_b1 + ds1_b3,ds1_b4,ds3_b3,Proposed DeepXDE Physics-Informed RUL Model,3,0.11882221698760982,0.038873648040362516,0.15474562514763665,0.026570071291915055,0.7063952088356018,0.09442204768818713
