fold_id,test_run_id,model,weight_profile,seed_repeat,seed,samples,mae,mse,rmse,r2,mae_seconds,rmse_seconds,r2_seconds
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,1,42,2148,0.3667067990995717,0.22123044888472226,0.47035140999546526,-1.7797410253617083,1092497.296075419,1401276.5642859575,-1.7797410189910754
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,2,1042,2148,0.34884655835096834,0.21262946605246938,0.46111762713267573,-1.6716704367163668,1039287.8532355679,1373767.1691708537,-1.6716704367526791
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,3,2042,2148,0.3913008189119553,0.227286500291636,0.4767457396680499,-1.855834775712816,1165768.0967118249,1420326.6309971078,-1.8558347813390679
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,1,42,2148,0.13450154293174116,0.02420155619256457,0.1555684935729744,0.6959095867444391,400708.6122015828,463471.5242141647,0.6959095854276122
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,2,1042,2148,0.12384142419985103,0.02104649145704025,0.14507408954406797,0.735552696123017,368949.85749301675,432206.46936390374,0.7355526953989683
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,3,2042,2148,0.1868007969993389,0.044764728704348895,0.21157676787480448,0.4375351426714992,556519.1751378026,630332.0448065193,0.43753514521368086
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,1,42,2148,0.14084565929682497,0.04440372141854385,0.21072190540744418,0.44207116729137275,419609.0773716015,627785.2288907245,0.4420711687440826
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,2,1042,2148,0.11411519582933147,0.018648776255713293,0.13656052231781077,0.7656797755818439,339973.3598606104,406842.7460224148,0.7656797768352649
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,3,2042,2148,0.12642580325925745,0.04446315837401958,0.21086288998782973,0.441324347202224,376649.27015901305,628205.2529617806,0.44132434666907205
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,1,42,2148,0.20001254126437618,0.07227271362167947,0.26883584884029044,0.09189974489865926,595879.7636205773,800918.9875204106,0.09189974479805574
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,2,1042,2148,0.1925616185581378,0.06945042589321138,0.26353448710408167,0.1273615406132521,573681.885296555,785125.1070105428,0.12736154050920712
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,3,2042,2148,0.1968015184757356,0.0717256964909626,0.26781653513359216,0.09877296676976655,586313.4459115457,797882.2353640951,0.09877296786086043
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,1,42,2148,0.07625985650832402,0.010593140228399195,0.10292298202247735,0.8668981298517618,227194.2804716015,306629.3840937172,0.8668981291970074
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,2,1042,2148,0.10625415131558659,0.01692708509883992,0.13010413175160856,0.787312672707398,316553.6425130354,387607.7907235399,0.7873126728407869
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,3,2042,2148,0.1255616637962663,0.021732363001540637,0.14741900488587162,0.726934780822536,374074.81735521415,439192.4682765381,0.7269347813523036
fold_02_test_ims_ds1_b4,ims_ds1_b4,strong_pinn,strong_paris_0p003_miner_0p003,1,42,2148,0.09996338671414338,0.014514729322032563,0.12047709044475037,0.817623709702373,297812.1217928306,358926.79352525517,0.8176237100205977
fold_02_test_ims_ds1_b4,ims_ds1_b4,strong_pinn,strong_paris_0p003_miner_0p003,2,1042,2148,0.1289545893798324,0.023427192062065626,0.15305943963723906,0.7056394035620062,384183.06070437614,455996.5189593416,0.7056394044036618
