publication_split,degradation_family,runs,snapshots,minimum_snapshots,median_snapshots,maximum_snapshots,median_duration_minutes,minimum_load_n,maximum_load_n,speed_rpm,snr_db
test,gamma,2,139,34,69.5,105,690480.0,5522.3308546044,5532.1118991595,2760.0,3.0
test,linear_increasing,2,110,21,55.0,89,544320.0,5302.87276790077,5412.96352270041,2760.0,3.0
test,progressively_increasing,2,118,34,59.0,84,584640.0,5251.23290184523,5620.05408307238,2760.0,3.0
test,step_like,2,71,20,35.5,51,347760.0,5458.74027300477,5578.81934263375,2760.0,3.0
train,gamma,6,471,28,71.0,148,705600.0,4431.23569531492,4619.30124529582,3000.0,10.0
train,linear_increasing,6,741,22,122.0,305,1219680.0,4212.78896118063,4534.75814257451,3000.0,10.0
train,progressively_increasing,6,1106,54,209.5,277,2101680.0,4313.70018291036,4580.54059137546,3000.0,10.0
train,step_like,6,681,72,107.0,192,1068480.0,4276.65452436592,4540.6682995995,3000.0,10.0
validation,gamma,2,100,47,50.0,53,493920.0,4712.73970011384,5081.13725534526,2880.0,7.0
validation,linear_increasing,2,106,36,53.0,70,524160.0,5082.57899780858,5146.45402638821,2880.0,7.0
validation,progressively_increasing,2,206,93,103.0,113,1028160.0,4858.4255233976,5097.72706387662,2880.0,7.0
validation,step_like,2,148,69,74.0,79,735840.0,4960.34910612873,5057.07474941357,2880.0,7.0
