run_id,publication_split,source_partition,condition_id,truth_available,degradation_family,fault_location,snapshots,duration_minutes,load_n,speed_rpm,snr_db,minimum_degradation_value,maximum_degradation_value,supports_sequence_length_8
synthetic_test_001,test,test,,False,,,13,241920.0,4500.0,3000.0,,,,True
synthetic_test_002,test,test,,False,,,26,504000.0,4500.0,3000.0,,,,True
synthetic_test_003,test,test,,False,,,32,624960.0,4500.0,3000.0,,,,True
synthetic_test_004,test,test,,False,,,50,987840.0,4500.0,3000.0,,,,True
synthetic_test_005,test,test,,False,,,60,1189440.0,4500.0,3000.0,,,,True
synthetic_test_006,test,test,,False,,,20,383040.0,4500.0,3000.0,,,,True
synthetic_test_007,test,test,,False,,,66,1310400.0,4500.0,3000.0,,,,True
synthetic_test_008,test,test,,False,,,23,443520.0,4500.0,3000.0,,,,True
synthetic_test_009,test,test,,False,,,67,1330560.0,4500.0,3000.0,,,,True
synthetic_test_010,test,test,,False,,,37,725760.0,4500.0,3000.0,,,,True
synthetic_test_011,test,test,,False,,,24,463680.0,4500.0,3000.0,,,,True
synthetic_test_012,test,test,,False,,,19,362880.0,4500.0,3000.0,,,,True
synthetic_train_001,train,train,,False,,,46,907200.0,4500.0,3000.0,,,,True
synthetic_train_002,train,train,,False,,,20,383040.0,4500.0,3000.0,,,,True
synthetic_train_005,train,train,,False,,,20,383040.0,4500.0,3000.0,,,,True
synthetic_train_008,train,train,,False,,,32,624960.0,4500.0,3000.0,,,,True
synthetic_train_009,train,train,,False,,,20,383040.0,4500.0,3000.0,,,,True
synthetic_train_012,train,train,,False,,,32,624960.0,4500.0,3000.0,,,,True
synthetic_train_013,train,train,,False,,,62,1229760.0,4500.0,3000.0,,,,True
synthetic_train_014,train,train,,False,,,28,544320.0,4500.0,3000.0,,,,True
synthetic_train_015,train,train,,False,,,29,564480.0,4500.0,3000.0,,,,True
synthetic_train_016,train,train,,False,,,6,100800.0,4500.0,3000.0,,,,False
synthetic_train_017,train,train,,False,,,66,1310400.0,4500.0,3000.0,,,,True
synthetic_train_018,train,train,,False,,,19,362880.0,4500.0,3000.0,,,,True
synthetic_train_019,train,train,,False,,,23,443520.0,4500.0,3000.0,,,,True
synthetic_train_020,train,train,,False,,,98,1955520.0,4500.0,3000.0,,,,True
synthetic_train_021,train,train,,False,,,26,504000.0,4500.0,3000.0,,,,True
synthetic_train_023,train,train,,False,,,50,987840.0,4500.0,3000.0,,,,True
synthetic_train_024,train,train,,False,,,24,463680.0,4500.0,3000.0,,,,True
synthetic_train_026,train,train,,False,,,52,1028160.0,4500.0,3000.0,,,,True
synthetic_train_027,train,train,,False,,,17,322560.0,4500.0,3000.0,,,,True
synthetic_train_028,train,train,,False,,,44,866880.0,4500.0,3000.0,,,,True
synthetic_train_003,validation,train,,False,,,24,463680.0,4500.0,3000.0,,,,True
synthetic_train_004,validation,train,,False,,,37,725760.0,4500.0,3000.0,,,,True
synthetic_train_006,validation,train,,False,,,83,1653120.0,4500.0,3000.0,,,,True
synthetic_train_007,validation,train,,False,,,67,1330560.0,4500.0,3000.0,,,,True
synthetic_train_010,validation,train,,False,,,13,241920.0,4500.0,3000.0,,,,True
synthetic_train_011,validation,train,,False,,,19,362880.0,4500.0,3000.0,,,,True
synthetic_train_022,validation,train,,False,,,38,745920.0,4500.0,3000.0,,,,True
synthetic_train_025,validation,train,,False,,,60,1189440.0,4500.0,3000.0,,,,True
