recorded_seed,phase,epochs,best_epoch,best_validation_mse,final_validation_mse,final_train_mse,final_validation_to_train_ratio
42,cf_01,49,25,0.0291752738952636,0.0423399314880371,0.0088272877892821,4.796482509547873
42,final,127,103,0.0549413997029501,0.0551350996607825,0.0021145237768144,26.074476090235954
143,cf_02,27,3,0.0483875241161377,0.0710461112093334,0.0218260442825632,3.2551070771029296
244,cf_03,29,5,0.0387214151557516,0.0666419722607746,0.0266065410953426,2.50472137742249
1042,cf_01,48,24,0.0297114200592041,0.0352426147460937,0.0105739895786557,3.332953421595313
1042,final,45,21,0.0655884316989353,0.0663017753570798,0.0090946654170022,7.290183015763357
1143,cf_02,27,3,0.0475909221270852,0.0722728287878115,0.0224681859163077,3.216673969897807
1244,cf_03,28,4,0.0397022254225136,0.0730222342670827,0.0263167441409897,2.7747442417600117
2042,cf_01,46,22,0.031798448562622,0.0412360706329345,0.0117902166723292,3.4974820038475314
2042,final,160,160,0.0347491947431412,0.0347491947431412,0.0013167086038531,26.390952896832463
2143,cf_02,27,3,0.049427966835085,0.0738160799357516,0.0213501139724334,3.457409175007712
2244,cf_03,29,5,0.0402233473920591,0.0695749365765115,0.0283390885038721,2.4550873104830155
3042,cf_01,68,44,0.0299780883789062,0.0312542066574096,0.0102403200782683,3.052073218271403
3042,final,25,1,0.0756845228255741,0.0768207481929234,0.0285936835745342,2.6866335004609434
3143,cf_02,27,3,0.0464920066604929,0.0719397229596603,0.0206482772170845,3.4840544905188007
3244,cf_03,29,5,0.0420135674269303,0.0732725254003552,0.026954241232956,2.718404304802595
4042,cf_01,41,17,0.0320362300872802,0.0476691532135009,0.0127542928165319,3.737498730757769
4042,final,25,1,0.0846835280221606,0.1305708468906463,0.024937864548271,5.235847144726716
4143,cf_02,27,3,0.0477155117949178,0.070920399594898,0.022270467080307,3.18450436352143
4244,cf_03,29,5,0.0403370091304686,0.0685489891807814,0.0262260575824636,2.6137740666983658
