seed,method,lifecycle_region,mae
42,all_off,early,0.15420289596785666
42,all_off,middle,0.10116813890635963
42,all_off,late,0.35752549774511017
42,all_on,early,0.2010723891025338
42,all_on,middle,0.15146553070433535
42,all_on,late,0.21578458846324533
42,anti_oracle,early,0.20367149766478795
42,anti_oracle,middle,0.15603592549612683
42,anti_oracle,late,0.24440797832944802
42,data_only,early,0.15420289596785666
42,data_only,middle,0.10116813890635963
42,data_only,late,0.35752549774511017
42,inverse_residual,early,0.16200076713029699
42,inverse_residual,middle,0.10026684742271057
42,inverse_residual,late,0.3438125982344797
42,oracle,early,0.1516037874056025
42,oracle,middle,0.09659774411456813
42,oracle,late,0.3289021078789074
42,priorcred_thresholded,early,0.15420289596785666
42,priorcred_thresholded,middle,0.10116860774226857
42,priorcred_thresholded,late,0.35638704992300313
42,random_credibility,early,0.17258575649987232
42,random_credibility,middle,0.11541909305410668
42,random_credibility,late,0.28792986899883427
42,validation_selected_scalar,early,0.1734022190873708
42,validation_selected_scalar,middle,0.11145070102145158
42,validation_selected_scalar,late,0.27019154230505016
1042,all_off,early,0.37853138537510583
1042,all_off,middle,0.11447573846413026
1042,all_off,late,0.21791790636919742
1042,all_on,early,0.289733308757039
1042,all_on,middle,0.16048671470635015
1042,all_on,late,0.15982342935020183
1042,anti_oracle,early,0.312106382735567
1042,anti_oracle,middle,0.16329043522211
1042,anti_oracle,late,0.17757322674329523
1042,data_only,early,0.37853138537510583
1042,data_only,middle,0.11447573846413026
1042,data_only,late,0.21791790636919742
1042,inverse_residual,early,0.3738123363133596
1042,inverse_residual,middle,0.11490940084374508
1042,inverse_residual,late,0.20823195646654455
1042,oracle,early,0.3561583113965777
1042,oracle,middle,0.1116720179483704
1042,oracle,late,0.200168108976104
1042,priorcred_thresholded,early,0.37853138537510583
1042,priorcred_thresholded,middle,0.11447573846413026
1042,priorcred_thresholded,late,0.21791790636919742
1042,random_credibility,early,0.3348209289002453
1042,random_credibility,middle,0.1234894887418337
1042,random_credibility,late,0.18409649359543837
1042,validation_selected_scalar,early,0.31553929540008535
1042,validation_selected_scalar,middle,0.1312336836095317
1042,validation_selected_scalar,late,0.17024063700143494
2042,all_off,early,0.17650188894375507
2042,all_off,middle,0.07739741106828049
2042,all_off,late,0.2810174848004052
2042,all_on,early,0.20549994748489106
2042,all_on,middle,0.1501648114973832
2042,all_on,late,0.18297230658547287
2042,anti_oracle,early,0.2108032151952471
2042,anti_oracle,middle,0.15160173042544178
2042,anti_oracle,late,0.20617066704014164
2042,data_only,early,0.17650188894375507
2042,data_only,middle,0.07739741106828049
2042,data_only,late,0.2810174848004052
2042,inverse_residual,early,0.18218251380298467
2042,inverse_residual,middle,0.07794477157336635
2042,inverse_residual,late,0.27093667401408056
2042,oracle,early,0.17119862123339902
2042,oracle,middle,0.07596049214022191
2042,oracle,late,0.2578191243457365
2042,priorcred_thresholded,early,0.17650188894375507
2042,priorcred_thresholded,middle,0.07739741106828049
2042,priorcred_thresholded,late,0.2810174848004052
2042,random_credibility,early,0.185153808184326
2042,random_credibility,middle,0.10120968145899732
2042,random_credibility,late,0.2282246240272256
2042,validation_selected_scalar,early,0.1811787974961952
2042,validation_selected_scalar,middle,0.08618069687815809
2042,validation_selected_scalar,late,0.2375406804992318
3042,all_off,early,0.26482895729334455
3042,all_off,middle,0.0855980256779326
3042,all_off,late,0.36243104860059
3042,all_on,early,0.2403218000925737
3042,all_on,middle,0.1480085129035253
3042,all_on,late,0.21746569569660312
3042,anti_oracle,early,0.25327397060844614
3042,anti_oracle,middle,0.14976139494739743
3042,anti_oracle,late,0.24674455031829862
3042,data_only,early,0.26482895729334455
3042,data_only,middle,0.0855980256779326
3042,data_only,late,0.36243104860059
3042,inverse_residual,early,0.2650892514250132
3042,inverse_residual,middle,0.08501915522236826
3042,inverse_residual,late,0.3488524266129537
3042,oracle,early,0.2518767867774721
3042,oracle,middle,0.08384514363406043
3042,oracle,late,0.33315219397889445
3042,priorcred_thresholded,early,0.2655002368611523
3042,priorcred_thresholded,middle,0.08370969378261561
3042,priorcred_thresholded,late,0.3362887781576912
3042,random_credibility,early,0.2502276468287548
3042,random_credibility,middle,0.10229217686646644
3042,random_credibility,late,0.28693477381870786
3042,validation_selected_scalar,early,0.23997867574828963
3042,validation_selected_scalar,middle,0.1230348406838026
3042,validation_selected_scalar,late,0.24378155608362878
4042,all_off,early,0.21469873643439746
4042,all_off,middle,0.09952907409105032
4042,all_off,late,0.4090693895832623
4042,all_on,early,0.22197818004217176
4042,all_on,middle,0.1479776311163842
4042,all_on,late,0.23523650670929305
4042,anti_oracle,early,0.23021583958463843
4042,anti_oracle,middle,0.1517909625686604
4042,anti_oracle,late,0.2691337563462189
4042,data_only,early,0.21469873643439746
4042,data_only,middle,0.09952907409105032
4042,data_only,late,0.4090693895832623
4042,inverse_residual,early,0.2176699995854885
4042,inverse_residual,middle,0.09905073641143228
4042,inverse_residual,late,0.39925080649120903
4042,oracle,early,0.2064610768919308
4042,oracle,middle,0.09571574263877412
4042,oracle,late,0.3751721399463364
4042,priorcred_thresholded,early,0.21469873643439746
4042,priorcred_thresholded,middle,0.09952907409105032
4042,priorcred_thresholded,late,0.4090693895832623
4042,random_credibility,early,0.21396281217123495
4042,random_credibility,middle,0.1089476166465171
4042,random_credibility,late,0.32171996619975707
4042,validation_selected_scalar,early,0.21778493329187887
4042,validation_selected_scalar,middle,0.13575493446922984
4042,validation_selected_scalar,late,0.2515091555235534
