seed,feature_set,held_out_unit,features,auroc,auprc,brier,prevalence
42,full_allowed,complete_trajectory,18,0.6927083333333333,0.32221076291910433,0.13842374428654877,0.15
42,without_shift,complete_trajectory,16,0.7071078431372549,0.23706032087416196,0.14758713197518783,0.15
42,without_candidate_family,complete_trajectory,14,0.7827818627450981,0.3579718502854516,0.1280567929711879,0.15
42,residual_only,complete_trajectory,8,0.768688725490196,0.3023487607719606,0.14128698192519812,0.15
42,condition_only,complete_trajectory,2,0.5,0.15,0.25,0.15
1042,full_allowed,complete_trajectory,18,0.852328431372549,0.5462780823251857,0.10195399812778938,0.15
1042,without_shift,complete_trajectory,16,0.8339460784313726,0.5017313093114035,0.11164516550121073,0.15
1042,without_candidate_family,complete_trajectory,14,0.8988970588235293,0.5831558609358486,0.09830092882236682,0.15
1042,residual_only,complete_trajectory,8,0.8841911764705881,0.5691754396998658,0.10904328743956741,0.15
1042,condition_only,complete_trajectory,2,0.5,0.15,0.25,0.15
2042,full_allowed,complete_trajectory,18,0.6470588235294118,0.28523804097792016,0.14628007954429229,0.15
2042,without_shift,complete_trajectory,16,0.6537990196078431,0.2591689468889007,0.1524739383100874,0.15
2042,without_candidate_family,complete_trajectory,14,0.7389705882352942,0.37027235529168967,0.13429981326499274,0.15
2042,residual_only,complete_trajectory,8,0.7506127450980393,0.31026615051918544,0.1438058248987636,0.15
2042,condition_only,complete_trajectory,2,0.5,0.15,0.25,0.15
3042,full_allowed,complete_trajectory,18,0.7843137254901961,0.4198149241608395,0.12150909001424312,0.15
3042,without_shift,complete_trajectory,16,0.7708333333333334,0.3712318669964567,0.12725195555959196,0.15
3042,without_candidate_family,complete_trajectory,14,0.8409926470588235,0.4349514117658143,0.11666239721975413,0.15
3042,residual_only,complete_trajectory,8,0.8394607843137255,0.46094048770074386,0.12463453920980587,0.15
3042,condition_only,complete_trajectory,2,0.5,0.15,0.25,0.15
4042,full_allowed,complete_trajectory,18,0.7754289215686274,0.3272158590626081,0.1267505292294371,0.15
4042,without_shift,complete_trajectory,16,0.7757352941176471,0.40744260499776014,0.1264079021184036,0.15
4042,without_candidate_family,complete_trajectory,14,0.8011642156862745,0.348013880421806,0.1262958318100032,0.15
4042,residual_only,complete_trajectory,8,0.8256740196078431,0.45301507937245883,0.12609858781940292,0.15
4042,condition_only,complete_trajectory,2,0.5,0.15,0.25,0.15
