seed,true_family,mean,median,std,max
42,gamma,0.21664000000000003,0.28,0.12419381315430511,0.3999999999999999
42,linear_increasing,0.2660416666666667,0.28,0.09759722997219548,0.3999999999999999
42,progressively_increasing,0.2894230769230769,0.28,0.1024347002328793,0.3999999999999999
42,step_like,0.28,0.28,0.0,0.28
1042,gamma,0.26415999999999995,0.28,0.14299325497288995,0.3999999999999999
1042,linear_increasing,0.26375,0.28,0.12438691757237934,0.3999999999999999
1042,progressively_increasing,0.2746153846153846,0.28,0.14015887709658933,0.3999999999999999
1042,step_like,0.28,0.28,0.0,0.28
2042,gamma,0.19935999999999998,0.28,0.1387951844474672,0.3999999999999999
2042,linear_increasing,0.263125,0.28,0.10128970956201766,0.3999999999999999
2042,progressively_increasing,0.2742307692307692,0.28,0.12490534130605134,0.3999999999999999
2042,step_like,0.28,0.28,0.0,0.28
3042,gamma,0.24448,0.28,0.12941216974233657,0.3999999999999999
3042,linear_increasing,0.26229166666666665,0.28,0.10818579697292367,0.3999999999999999
3042,progressively_increasing,0.2919230769230769,0.28,0.11363437298819931,0.3999999999999999
3042,step_like,0.28,0.28,0.0,0.28
4042,gamma,0.2328,0.28,0.1294504513504634,0.3999999999999999
4042,linear_increasing,0.26895833333333335,0.28,0.09775887809101551,0.3999999999999999
4042,progressively_increasing,0.2926923076923077,0.28,0.10739845752206117,0.3999999999999999
4042,step_like,0.28,0.28,0.0,0.28
