parent_seed,optimization_seed,phase,candidate_spec,epochs,best_epoch,best_validation_mse,final_validation_mse,final_train_loss,final_over_best_validation_ratio,elapsed_seconds
42,42,final,data_only,26,6,0.0345501131577925,0.0506774481860074,0.0089479667964007,1.4667809611667655,6.614538054999969
42,10042,cf_01,data_only,52,32,0.0224118464815933,0.0290534870814433,0.0061821750743772,1.2963450871977342,6.055017564000025
42,10143,cf_01,linear_increasing__scale_0.60,10,2,0.0439925246534094,0.0459088387742506,0.166800809647893,1.0435599942476292,1.8238820830000009
42,10144,cf_01,linear_increasing__scale_1.00,10,2,0.0303214556348007,0.036266200310361,0.1027330320516175,1.196057364368001,1.086433788999983
42,10145,cf_01,linear_increasing__scale_1.60,9,1,0.02522661886384,0.0299073974643133,0.0593405273242858,1.1855491861885128,0.9887603189999936
42,10146,cf_01,progressively_increasing__scale_0.60,10,2,0.0293765732672362,0.0350239962603138,0.4227943480880597,1.19224240151169,1.1380223029999854
42,10147,cf_01,progressively_increasing__scale_1.00,10,2,0.0234850085942091,0.0340400459492101,0.2194712362841915,1.4494372362121954,1.150618594000008
42,10148,cf_01,progressively_increasing__scale_1.60,9,1,0.0208170403421452,0.0335908062690127,0.1277406334308835,1.613620654853915,1.1691437169999972
42,10149,cf_01,step_like__scale_0.60,10,2,0.0264527734402006,0.0327687284587758,2.3403321427212376,1.2387634337417628,1.1371491159999891
42,10150,cf_01,step_like__scale_1.00,9,1,0.0214802332684002,0.0320420455088657,1.1189038030028722,1.4916991407166464,1.5869146739999849
42,10151,cf_01,step_like__scale_1.60,9,1,0.0204027010276254,0.0343463721528517,0.5184153015647105,1.6834228030076246,1.398563600000017
42,10152,cf_01,gamma__scale_0.60,10,2,0.0296162641153926,0.034996505332204,1.9539463438881672,1.1816650876642845,1.1182312139999908
42,10153,cf_01,gamma__scale_1.00,9,1,0.023982211551835,0.0322579662356756,0.9162335361181148,1.345078879233195,1.028996398000004
42,10154,cf_01,gamma__scale_1.60,9,1,0.0205947303139002,0.0334316513179677,0.398866978251171,1.6233109542300417,0.993045900999988
42,20042,cf_02,data_only,37,17,0.0389589281643138,0.0489322826824086,0.006082470516882,1.255996635123816,6.438930051999989
42,20143,cf_02,linear_increasing__scale_0.60,9,1,0.0548074079707344,0.061415058406279,0.1351252346723205,1.1205612649858008,1.6030986200000257
42,20144,cf_02,linear_increasing__scale_1.00,23,15,0.0371670015355482,0.0382126486875156,0.0728831967335746,1.0281337506058243,4.0370550479999565
42,20145,cf_02,linear_increasing__scale_1.60,20,12,0.0324624732216411,0.0339323199369053,0.0458793012697137,1.0452783343163246,4.0296899900000085
42,20146,cf_02,progressively_increasing__scale_0.60,35,27,0.0373952070022011,0.0379841455163802,0.2830128126324475,1.015749037413924,6.786621099000001
42,20147,cf_02,progressively_increasing__scale_1.00,19,11,0.0262843612681098,0.0291528548786346,0.1534118735607478,1.1091330917751872,3.422811116000048
42,20148,cf_02,progressively_increasing__scale_1.60,9,1,0.0352712410656526,0.041473790286059,0.1157730749593005,1.1758528771035075,2.836948919000008
42,20149,cf_02,step_like__scale_0.60,25,17,0.0303117731675744,0.0306509248713121,1.2592005562470894,1.0111887780982902,4.729978379999977
42,20150,cf_02,step_like__scale_1.00,17,9,0.0298761683989336,0.0333421281314788,0.587085648668821,1.1160108514005067,3.0224134970000023
42,20151,cf_02,step_like__scale_1.60,9,1,0.0382699348072317,0.0508449734213517,0.2957116287584537,1.3285879288130837,1.6025365240000156
42,20152,cf_02,gamma__scale_0.60,37,29,0.0370908114999373,0.0375479842252272,1.0906773455639849,1.0123257676713455,7.870150857999988
42,20153,cf_02,gamma__scale_1.00,18,10,0.0274338326989648,0.0300837328089749,0.488616042926459,1.0965924134293525,3.1593379210000307
42,20154,cf_02,gamma__scale_1.60,9,1,0.0345618386957097,0.0394919415846228,0.2290006839098543,1.1426458508853896,1.5686757349999991
42,30042,cf_03,data_only,34,14,0.0288554844648941,0.0293605258499366,0.0068201369327711,1.0175024399835302,5.570934013999988
42,30143,cf_03,linear_increasing__scale_0.60,9,1,0.0341881910959879,0.0398487008136251,0.120237084031105,1.1655691493517328,1.7555197110000336
42,30144,cf_03,linear_increasing__scale_1.00,15,7,0.0314068034075308,0.0317610795947088,0.0649334464415355,1.0112802370423044,3.168283680000002
42,30145,cf_03,linear_increasing__scale_1.60,40,38,0.0199295887048693,0.0204010977261308,0.032543411091154,1.0236587432005708,8.946944493999979
42,30146,cf_03,progressively_increasing__scale_0.60,10,2,0.0308204802913942,0.0319694090580594,0.2671687431688662,1.0372780941699344,1.940639422000004
42,30147,cf_03,progressively_increasing__scale_1.00,26,18,0.0270345176475635,0.0274403976357501,0.1300554463156947,1.0150133985550573,6.061596419000011
42,30148,cf_03,progressively_increasing__scale_1.60,9,1,0.0363691924274831,0.0397961588873379,0.1140622208957319,1.0942271805096544,1.9002831370000308
42,30149,cf_03,step_like__scale_0.60,9,1,0.0293665035911228,0.0299140819604846,1.003612678727986,1.0186463590281591,1.7268507549999867
42,30150,cf_03,step_like__scale_1.00,23,15,0.0280180582101794,0.0284133061118747,0.424188756942749,1.0141068984413666,4.568584145999978
42,30151,cf_03,step_like__scale_1.60,9,1,0.041771978571795,0.050876043844914,0.2116644939669856,1.21794670935856,2.4066940980000027
42,30152,cf_03,gamma__scale_0.60,10,2,0.0310924986134404,0.0323585703753042,0.9412291019934196,1.0407195245902983,1.9600540369999635
42,30153,cf_03,gamma__scale_1.00,29,21,0.0265303418256234,0.0271462012028348,0.3652216202830091,1.0232133977488596,5.996013258000005
42,30154,cf_03,gamma__scale_1.60,9,1,0.0360818600309067,0.0393653468809266,0.1539793219684082,1.0910010417203369,2.0619207510000024
42,40042,cf_04,data_only,32,12,0.0434377833251964,0.0672366705213515,0.0078749924118961,1.5478844769307183,4.949885216000041
42,40143,cf_04,linear_increasing__scale_0.60,11,3,0.0651439090944686,0.069938598657554,0.1156785667074174,1.0736015021163738,2.1403609400000505
42,40144,cf_04,linear_increasing__scale_1.00,10,2,0.0486197670535096,0.0562846957231467,0.0655817750339739,1.1576504605873839,2.0916411320000066
42,40145,cf_04,linear_increasing__scale_1.60,10,2,0.0339435077852235,0.0405768779510597,0.0481798280745942,1.1954238261940588,2.58388495600002
42,40146,cf_04,progressively_increasing__scale_0.60,10,2,0.048170712337179,0.0539170297671039,0.2550306517556803,1.119290688285915,1.869314779999968
42,40147,cf_04,progressively_increasing__scale_1.00,9,1,0.0326121264919287,0.0387260839474861,0.1426492582093801,1.187474970608573,1.913645747999965
42,40148,cf_04,progressively_increasing__scale_1.60,10,2,0.0258773587784677,0.0274800076940149,0.1223440443969457,1.0619324765431915,1.8817462430000087
