parent_seed,priorcred_selected_candidate_family,priorcred_selected_time_scale_factor,lifecycle_region,selected_samples,fraction_of_seed_samples
42,gamma,0.5999999999999998,early,69,0.044892648015614836
42,gamma,0.5999999999999998,late,50,0.03253090435914118
42,gamma,0.5999999999999998,middle,148,0.09629147690305791
42,linear_increasing,0.5999999999999998,early,32,0.02081977878985036
42,linear_increasing,0.5999999999999998,middle,2,0.0013012361743656475
42,progressively_increasing,0.5999999999999998,early,1,0.0006506180871828237
42,progressively_increasing,0.5999999999999998,late,1,0.0006506180871828237
42,progressively_increasing,0.5999999999999998,middle,3,0.001951854261548471
42,progressively_increasing,1.6,late,8,0.00520494469746259
42,step_like,0.5999999999999998,early,12,0.007807417046193884
42,step_like,0.5999999999999998,late,1,0.0006506180871828237
42,step_like,0.5999999999999998,middle,6,0.003903708523096942
42,step_like,1.0,late,10,0.006506180871828237
42,step_like,1.0,middle,8,0.00520494469746259
42,step_like,1.6,late,8,0.00520494469746259
42,step_like,1.6,middle,12,0.007807417046193884
1042,linear_increasing,0.5999999999999998,early,1,0.0006506180871828237
1042,linear_increasing,0.5999999999999998,late,11,0.0071567989590110605
1042,linear_increasing,0.5999999999999998,middle,1,0.0006506180871828237
1042,progressively_increasing,0.5999999999999998,middle,1,0.0006506180871828237
1042,progressively_increasing,1.0,late,3,0.001951854261548471
1042,progressively_increasing,1.6,late,8,0.00520494469746259
1042,step_like,0.5999999999999998,middle,3,0.001951854261548471
1042,step_like,1.0,late,12,0.007807417046193884
1042,step_like,1.6,late,10,0.006506180871828237
1042,step_like,1.6,middle,6,0.003903708523096942
2042,gamma,0.5999999999999998,early,95,0.06180871828236825
2042,gamma,0.5999999999999998,late,35,0.02277163305139883
2042,gamma,0.5999999999999998,middle,133,0.08653220559531555
2042,linear_increasing,0.5999999999999998,early,14,0.009108653220559532
2042,linear_increasing,0.5999999999999998,middle,3,0.001951854261548471
2042,progressively_increasing,0.5999999999999998,middle,2,0.0013012361743656475
2042,progressively_increasing,1.6,late,1,0.0006506180871828237
2042,step_like,0.5999999999999998,early,1,0.0006506180871828237
2042,step_like,0.5999999999999998,middle,4,0.002602472348731295
2042,step_like,1.0,late,10,0.006506180871828237
2042,step_like,1.6,late,10,0.006506180871828237
2042,step_like,1.6,middle,17,0.011060507482108002
3042,gamma,0.5999999999999998,early,24,0.015614834092387769
3042,gamma,0.5999999999999998,late,94,0.06115810019518542
3042,gamma,0.5999999999999998,middle,64,0.04163955757970072
3042,linear_increasing,0.5999999999999998,early,24,0.015614834092387769
3042,linear_increasing,0.5999999999999998,late,28,0.018217306441119064
3042,linear_increasing,0.5999999999999998,middle,37,0.024072869225764477
3042,progressively_increasing,0.5999999999999998,early,9,0.005855562784645413
3042,progressively_increasing,0.5999999999999998,late,3,0.001951854261548471
3042,progressively_increasing,0.5999999999999998,middle,22,0.014313597918022121
3042,progressively_increasing,1.0,late,10,0.006506180871828237
3042,progressively_increasing,1.0,middle,1,0.0006506180871828237
3042,progressively_increasing,1.6,late,5,0.0032530904359141183
3042,step_like,0.5999999999999998,early,23,0.014964216005204945
3042,step_like,0.5999999999999998,late,4,0.002602472348731295
3042,step_like,0.5999999999999998,middle,11,0.0071567989590110605
3042,step_like,1.0,early,4,0.002602472348731295
3042,step_like,1.0,late,16,0.01040988939492518
3042,step_like,1.0,middle,22,0.014313597918022121
3042,step_like,1.6,late,28,0.018217306441119064
3042,step_like,1.6,middle,22,0.014313597918022121
4042,gamma,0.5999999999999998,early,7,0.004554326610279766
4042,gamma,0.5999999999999998,late,78,0.05074821080026025
4042,gamma,0.5999999999999998,middle,44,0.028627195836044242
4042,linear_increasing,0.5999999999999998,early,109,0.07091737150292778
4042,linear_increasing,0.5999999999999998,late,256,0.16655823031880287
4042,linear_increasing,0.5999999999999998,middle,275,0.1789199739752765
4042,progressively_increasing,0.5999999999999998,early,75,0.048796356538711776
4042,progressively_increasing,0.5999999999999998,middle,20,0.013012361743656473
4042,progressively_increasing,1.0,early,6,0.003903708523096942
4042,progressively_increasing,1.0,late,14,0.009108653220559532
4042,progressively_increasing,1.0,middle,6,0.003903708523096942
4042,progressively_increasing,1.6,late,5,0.0032530904359141183
4042,progressively_increasing,1.6,middle,5,0.0032530904359141183
4042,step_like,0.5999999999999998,early,35,0.02277163305139883
4042,step_like,0.5999999999999998,late,4,0.002602472348731295
4042,step_like,0.5999999999999998,middle,11,0.0071567989590110605
4042,step_like,1.0,early,2,0.0013012361743656475
4042,step_like,1.0,late,17,0.011060507482108002
4042,step_like,1.0,middle,30,0.01951854261548471
4042,step_like,1.6,late,35,0.02277163305139883
4042,step_like,1.6,middle,19,0.01236174365647365
